mcd,sid,mct
20230502,ORZ494,0816
20230725,OWI326,1407
20230810,OXS375,0812
20220407,OYQ923,0816
20220510,OZZ515,1051
20210928,PAK800,0843
20230413,PDG961,1031
20230817,PDX936,0805
20230629,PEW584,1650
20230314,PFN770,1632
20220406,PGO261,1314
20230501,PHE887,1015
20220401,PHT202,0841
20230925,PKH444,1356
20230913,POO565,1351
20220415,PPN340,0835
20230717,PSV686,0836
20230815,PWG860,1401
20230607,PZC599,0809
20230105,QAC448,1702
20230629,QBN395,1004
20230106,QCW581,1047
20230808,QFA788,1656
20230322,QHY185,0820
20230906,QLL112,1059
20220413,QNG691,1325
20230717,QNG975,1225
20230213,QQE855,1701
20230908,QRZ109,0822
20230915,QVU001,1648
20230811,QWY097,1202
20230530,QXP432,1024
20220310,QYX307,0821
20230517,QZP994,1211
20230518,RFZ285,1009
20220307,RGA575,1342
20230313,RHL466,1653
20230919,RHU956,1626
20230309,RIM072,1343
20230530,RKG241,1417
20230726,RLB874,1016
20230721,ROW863,1647
20230327,RSC756,1036
20230727,RSJ093,1211
20230630,RSY180,1424
20230502,RWA092,1418
20230403,RWS274,1022
20220426,SCG995,1126
20210930,SED177,0822
20230302,SEI058,0808
20230627,SIQ409,1701
20210929,SKB942,1334
20220818,SSF476,1653
20230728,SVG441,1206
20220303,TAY503,1247
20220526,TBT156,0828
20230807,TCE049,0839
20230315,TEA904,0816
20220816,TFD330,0759
20220202,THN461,0844
20220308,TID597,1046
20230526,TLD140,1657
20220727,TMA321,1059
20220628,TMH727,1121
20230602,TOU998,0800
20220610,TRP396,0901
20230227,TRT983,1659
20230811,TTG471,0827
20230807,TWH159,1011
20230410,TWP078,0805
20230227,TXE513,1052
20230816,TYX812,0807
20230330,UCD539,1421
20220804,UDW406,1040
20220511,UED497,1101
20220711,UGU718,1048
20210922,UHV563,0839
20230515,UII082,1236
20230918,UIQ957,1402
20230315,UIS049,1638
20230601,UJD603,1208
20230627,UMJ550,1045
20230407,UMQ592,1229
20230224,UPC002,1102
20230516,UQD073,1240
20230804,URP626,1714
20220809,UTC375,1321
20230831,UTI042,1037
20230602,UTS316,1011
20230302,UWK768,1343
20230718,UYF211,1021
20221213,VBY735,1425
20220818,VCN655,1304
20230609,VLS079,1358
20230301,VNS883,1646
20230424,VOG927,1024
20210820,VRH652,1341
20230131,WBX393,1229
20220708,WER393,0819
20220510,WFU321,0837
20220314,WHL690,0829
20230721,WOZ406,1207
20230914,WOZ485,1702
20230710,WWY595,0814
20230615,WXT125,0808
20220714,XDD307,1307
20230112,XFR658,1659
20230630,XFY463,1210
20230508,XGD109,1015
20230508,XIK500,0828
20220218,XIT043,0839
20210831,XJT672,0815
20211001,XMY093,1304
20230531,XPT425,1702
20220310,XRZ540,1336
20230811,XUD838,1636
20220805,XWE958,0808
20230601,XZL508,1015
20230808,YAE939,1358
20230608,YIK625,1009
20230808,YJF815,1157
20230808,YLC760,0759
20230413,YPL291,1230
20220616,YQC783,0829
20230324,YWZ007,1647
20230718,YYA788,1434
20230410,YZR050,1223
20230512,ZEL435,1009
20230915,ZEM686,1145
20230320,ZJN985,0810
20230303,ZKN852,1634
20230323,ZQK191,1348
20220310,ZSC414,1128
20220216,ZSE894,1324
20230607,ZUE409,1652
20220831,ZUS575,1047
20230703,ZWG600,0826
20230421,ZWR419,1716
20220712,ZWR590,1306
20220705,ZXB960,0813
20230324,ZZS850,1118
