mcd,mct,sid
20230713,1559,XDF138
20230308,0804,XFA319
20230620,1622,XFG942
20230112,1659,XFR658
20230630,1210,XFY463
20230508,1015,XGD109
20230822,1557,XHF240
20230508,0828,XIK500
20230914,1557,XMH356
20230420,0826,XON324
20230531,1702,XPT425
20230824,1102,XTJ649
20230811,1636,XUD838
20230601,1015,XZL508
20230808,1358,YAE939
20230711,1624,YBF408
20230608,1009,YIK625
20230808,1157,YJF815
20230511,1027,YKM165
20230808,0759,YLC760
20230804,1612,YOP679
20230413,1230,YPL291
20230320,1648,YQI379
20230324,1647,YWZ007
20230718,1434,YYA788
20230410,1223,YZR050
20230801,1225,ZAP635
20230512,1009,ZEL435
20230915,1145,ZEM686
20230320,0810,ZJN985
20230303,1634,ZKN852
20230323,1348,ZQK191
20230712,1556,ZTM007
20230607,1652,ZUE409
20230622,0808,ZVF697
20230703,0826,ZWG600
20230421,1716,ZWR419
20230324,1118,ZZS850
